NP_248999.1	PA0308	NODATA
NP_249000.1	PA0309	NODATA
NP_249001.1	PA0310	NODATA
NP_249002.1	PA0311	NODATA
NP_249003.1	PA0312	NODATA
NP_249004.1	PA0313	NODATA
NP_249005.1	PA0314	NODATA
NP_249006.1	PA0315	NODATA
NP_249007.1	PA0316	serA
NP_249008.1	PA0317	NODATA
NP_249009.1	PA0318	NODATA
NP_249010.1	PA0319	NODATA
NP_249011.1	PA0320	NODATA
NP_249012.1	PA0321	NODATA
NP_249013.1	PA0322	NODATA
NP_249014.1	PA0323	NODATA
NP_249015.1	PA0324	NODATA
NP_249016.1	PA0325	NODATA
NP_249017.1	PA0326	NODATA
NP_249018.1	PA0327	NODATA
NP_249019.1	PA0328	NODATA
NP_249020.1	PA0329	NODATA
NP_249021.1	PA0330	rpiA
NP_249022.1	PA0331	ilvA1
NP_249023.1	PA0332	NODATA
NP_249024.1	PA0333	NODATA
NP_249025.1	PA0334	NODATA
NP_249026.1	PA0335	NODATA
NP_249027.1	PA0336	ygdP
NP_249028.1	PA0337	ptsP
NP_249029.1	PA0338	NODATA
NP_249030.1	PA0339	NODATA
NP_249031.1	PA0340	NODATA
NP_249032.1	PA0341	lgt
NP_249033.1	PA0342	thyA
NP_249034.1	PA0343	NODATA
NP_249035.1	PA0344	NODATA
NP_249036.1	PA0345	NODATA
NP_249037.1	PA0346	NODATA
NP_249038.1	PA0347	glpQ
NP_249039.1	PA0348	NODATA
NP_249040.1	PA0349	NODATA
NP_249041.1	PA0350	folA
NP_249042.1	PA0351	NODATA
NP_249043.1	PA0352	NODATA
NP_249044.1	PA0353	ilvD
NP_249045.1	PA0354	NODATA
NP_249046.1	PA0355	pfpI
NP_249047.1	PA0356	NODATA
NP_249048.1	PA0357	mutM
NP_249049.1	PA0358	NODATA
NP_249050.1	PA0359	NODATA
NP_249051.1	PA0360	NODATA
NP_249052.1	PA0361	NODATA
NP_249053.1	PA0362	fdx1
NP_249054.1	PA0363	coaD
NP_249055.1	PA0364	NODATA
NP_249056.1	PA0365	NODATA
NP_249057.1	PA0366	NODATA
NP_249058.1	PA0367	NODATA
YP_008719732.1	PA0367a	NODATA
NP_249059.1	PA0368	NODATA
NP_249061.1	PA0370	NODATA
NP_249062.1	PA0371	NODATA
NP_249063.1	PA0372	NODATA
NP_249064.1	PA0373	ftsY
NP_249065.1	PA0374	ftsE
NP_249066.1	PA0375	ftsX
NP_249067.1	PA0376	rpoH
NP_249068.1	PA0377	NODATA
NP_249069.1	PA0378	NODATA
NP_249070.1	PA0379	NODATA
NP_249071.1	PA0380	NODATA
NP_249072.1	PA0381	thiG
NP_249073.1	PA0382	micA
NP_249074.1	PA0383	NODATA
NP_249075.1	PA0384	NODATA
NP_249076.1	PA0385	NODATA
NP_249077.1	PA0386	NODATA
NP_249078.1	PA0387	NODATA
NP_249079.1	PA0388	NODATA
NP_249080.1	PA0389	NODATA
NP_249081.1	PA0390	metX
NP_249082.1	PA0391	NODATA
NP_249083.1	PA0392	NODATA
NP_249084.1	PA0393	proC
NP_249085.1	PA0394	NODATA
NP_249086.1	PA0395	pilT
NP_249087.1	PA0396	pilU
NP_249088.1	PA0397	NODATA
NP_249089.1	PA0398	NODATA
NP_249090.1	PA0399	NODATA
NP_249091.1	PA0400	NODATA
NP_249092.1	PA0401	NODATA
NP_249093.1	PA0402	pyrB
NP_249094.1	PA0403	pyrR
NP_249095.1	PA0404	NODATA
NP_249096.1	PA0405	NODATA
NP_249097.1	PA0406	tonB3
NP_249098.1	PA0407	gshB
NP_249099.1	PA0408	pilG
NP_249100.1	PA0409	pilH
NP_249101.1	PA0410	pilI
NP_249102.1	PA0411	pilJ
NP_249103.1	PA0412	pilK
NP_249104.1	PA0413	chpA
NP_249105.1	PA0414	chpB
NP_249106.1	PA0415	chpC
NP_249107.1	PA0416	chpD
NP_249108.1	PA0417	chpE
NP_249109.1	PA0418	NODATA
NP_249110.1	PA0419	NODATA
NP_249111.1	PA0420	bioA
NP_249112.1	PA0421	NODATA
NP_249113.1	PA0422	NODATA
NP_249114.1	PA0423	pasP
NP_249115.1	PA0424	mexR
NP_249116.1	PA0425	mexA
NP_249117.1	PA0426	mexB
NP_249118.1	PA0427	oprM
NP_249119.1	PA0428	NODATA
NP_249120.1	PA0429	NODATA
NP_249121.1	PA0430	metF
NP_249122.1	PA0431	NODATA
NP_249123.1	PA0432	sahH
NP_249124.1	PA0433	NODATA
NP_249125.1	PA0434	NODATA
NP_249126.1	PA0435	NODATA
NP_249127.1	PA0436	NODATA
NP_249128.1	PA0437	codA
NP_249129.1	PA0438	codB
NP_249130.1	PA0439	NODATA
NP_249131.1	PA0440	NODATA
NP_249132.1	PA0441	dht
NP_249133.1	PA0442	NODATA
NP_249134.1	PA0443	NODATA
NP_249135.1	PA0444	NODATA
NP_249136.1	PA0445	NODATA
NP_249137.1	PA0446	NODATA
NP_249138.1	PA0447	gcdH
NP_249139.1	PA0448	NODATA
NP_249140.1	PA0449	NODATA
NP_249141.1	PA0450	NODATA
NP_249142.1	PA0451	NODATA
NP_249143.1	PA0452	NODATA
YP_008719733.1	PA0451a	NODATA
NP_249145.1	PA0454	NODATA
NP_249146.1	PA0455	dbpA
NP_249147.1	PA0456	NODATA
NP_249148.1	PA0457	NODATA
YP_003933608.1	PA0457.1	NODATA
NP_249149.1	PA0458	NODATA
NP_249150.1	PA0459	NODATA
NP_249151.1	PA0460	NODATA
NP_249152.1	PA0461	NODATA
NP_249153.2	PA0462	NODATA
NP_249154.1	PA0463	creB
NP_249155.1	PA0464	creC
NP_249156.1	PA0465	creD
NP_249157.1	PA0466	NODATA
NP_249158.1	PA0467	NODATA
NP_249159.1	PA0468	NODATA
NP_249160.1	PA0469	NODATA
NP_249161.1	PA0470	fiuA
NP_249162.1	PA0471	NODATA
NP_249163.1	PA0472	NODATA
NP_249164.1	PA0473	NODATA
NP_249165.1	PA0474	NODATA
NP_249166.1	PA0475	NODATA
NP_249167.1	PA0476	NODATA
NP_249168.1	PA0477	NODATA
NP_249169.1	PA0478	NODATA
NP_249170.1	PA0479	NODATA
NP_249171.1	PA0480	NODATA
NP_249172.1	PA0481	NODATA
NP_249173.1	PA0482	glcB
NP_249174.1	PA0483	NODATA
NP_249175.1	PA0484	NODATA
NP_249176.1	PA0485	NODATA
NP_249177.1	PA0486	NODATA
NP_249178.1	PA0487	NODATA
NP_249179.1	PA0488	NODATA
NP_249180.1	PA0489	NODATA
NP_249181.1	PA0490	NODATA
NP_249182.1	PA0491	NODATA
NP_249183.1	PA0492	NODATA
NP_249184.1	PA0493	NODATA
NP_249185.1	PA0494	NODATA
NP_249186.1	PA0495	NODATA
NP_249187.1	PA0496	NODATA
NP_249188.1	PA0497	NODATA
NP_249189.1	PA0498	NODATA
NP_249190.1	PA0499	NODATA
NP_249191.1	PA0500	bioB
NP_249192.1	PA0501	bioF
NP_249193.1	PA0502	NODATA
NP_249194.1	PA0503	NODATA
NP_249195.1	PA0504	bioD
NP_249196.1	PA0505	NODATA
NP_249197.1	PA0506	NODATA
NP_249198.1	PA0507	NODATA
NP_249199.1	PA0508	NODATA
NP_249200.1	PA0509	nirN
NP_249201.1	PA0510	NODATA
NP_249202.1	PA0511	nirJ
NP_249203.1	PA0512	NODATA
NP_249204.1	PA0513	NODATA
NP_249205.1	PA0514	nirL
NP_249206.1	PA0515	NODATA
NP_249207.1	PA0516	nirF
NP_249208.1	PA0517	nirC
NP_249209.1	PA0518	nirM
NP_249210.1	PA0519	nirS
NP_249211.1	PA0520	nirQ
NP_249212.1	PA0521	NODATA
NP_249213.1	PA0522	NODATA
NP_249214.1	PA0523	norC
NP_249215.1	PA0524	norB
NP_249216.1	PA0525	NODATA
NP_249217.1	PA0526	NODATA
NP_249218.1	PA0527	dnr
NP_249219.1	PA0528	NODATA
NP_249220.1	PA0529	NODATA
NP_249221.1	PA0530	NODATA
NP_249222.1	PA0531	NODATA
NP_249223.1	PA0532	NODATA
NP_249224.1	PA0533	NODATA
NP_249225.1	PA0534	NODATA
NP_249226.1	PA0535	NODATA
NP_249227.1	PA0536	NODATA
NP_249228.1	PA0537	NODATA
NP_249229.1	PA0538	dsbB
NP_249230.1	PA0539	NODATA
NP_249231.1	PA0540	NODATA
NP_249232.1	PA0541	NODATA
