NP_215083.1	Rv0569	NODATA
NP_215084.1	Rv0570	nrdZ
NP_215085.1	Rv0571c	NODATA
NP_215086.1	Rv0572c	NODATA
NP_215087.1	Rv0573c	pncB2
NP_215088.1	Rv0574c	NODATA
NP_215089.1	Rv0575c	NODATA
NP_215090.1	Rv0576	NODATA
NP_215091.1	Rv0577	TB27.3
YP_177739.1	Rv0578c	PE_PGRS7
NP_215093.1	Rv0579	NODATA
NP_215094.1	Rv0580c	NODATA
NP_215095.1	Rv0581	vapB26
NP_215096.1	Rv0582	vapC26
NP_215097.1	Rv0583c	lpqN
NP_215098.1	Rv0584	NODATA
NP_215099.1	Rv0585c	NODATA
NP_215100.1	Rv0586	mce2R
NP_215101.1	Rv0587	yrbE2A
NP_215102.1	Rv0588	NODATA
YP_177740.1	Rv0589	mce2A
NP_215105.1	Rv0591	mce2C
NP_215106.1	Rv0592	mce2D
NP_215107.1	Rv0593	lprL
NP_215108.1	Rv0594	mce2F
NP_215109.1	Rv0595c	vapC4
NP_215110.1	Rv0596c	vapB4
NP_215111.1	Rv0597c	NODATA
NP_215112.1	Rv0598c	vapC27
NP_215113.1	Rv0599c	vapB27
NP_215114.2	Rv0600c	NODATA
NP_215115.1	Rv0601c	NODATA
NP_215116.1	Rv0602c	tcrA
NP_215117.1	Rv0603	NODATA
NP_215118.1	Rv0604	lpqO
NP_215119.2	Rv0605	NODATA
NP_215121.1	Rv0607	NODATA
NP_215122.1	Rv0608	vapB28
NP_215123.1	Rv0609	vapC28
YP_177628.1	Rv0609A	NODATA
NP_215124.1	Rv0610c	NODATA
NP_215125.2	Rv0611c	NODATA
NP_215126.1	Rv0612	NODATA
NP_215127.1	Rv0613c	NODATA
NP_215128.2	Rv0614	NODATA
NP_215129.1	Rv0615	NODATA
YP_007409270.1	Rv0616A	vapB29
NP_215131.1	Rv0617	vapC29
NP_215134.1	Rv0620	galK
NP_215135.1	Rv0621	NODATA
NP_215136.2	Rv0622	NODATA
NP_215137.1	Rv0623	vapB30
NP_215138.1	Rv0624	vapC30
NP_215139.1	Rv0625c	NODATA
NP_215140.1	Rv0626	vapB5
NP_215141.1	Rv0627	vapC5
NP_215142.1	Rv0628c	NODATA
NP_215143.1	Rv0629c	recD
NP_215144.1	Rv0630c	recB
NP_215145.1	Rv0631c	recC
NP_215146.1	Rv0632c	echA3
NP_215147.1	Rv0633c	NODATA
NP_215148.1	Rv0634c	NODATA
YP_177629.1	Rv0634A	NODATA
YP_177630.1	Rv0634B	rpmG2
NP_215149.1	Rv0635	hadA
NP_215150.1	Rv0636	hadB
NP_215151.1	Rv0637	hadC
YP_177743.1	Rv0638	secE1
NP_215153.1	Rv0639	nusG
NP_215154.1	Rv0640	rplK
NP_215155.1	Rv0641	rplA
NP_215156.1	Rv0642c	mmaA4
NP_215157.1	Rv0643c	mmaA3
NP_215158.1	Rv0644c	mmaA2
NP_215159.1	Rv0645c	mmaA1
NP_215160.1	Rv0646c	lipG
NP_215161.1	Rv0647c	NODATA
NP_215162.1	Rv0648	NODATA
YP_177744.1	Rv0649	fabD2
NP_215164.1	Rv0650	NODATA
NP_215165.1	Rv0651	rplJ
NP_215166.1	Rv0652	rplL
NP_215167.1	Rv0653c	NODATA
NP_215168.1	Rv0654	NODATA
NP_215169.1	Rv0655	mkl
NP_215170.1	Rv0656c	vapC6
NP_215171.1	Rv0657c	vapB6
NP_215172.1	Rv0658c	NODATA
NP_215173.1	Rv0659c	mazF2
NP_215174.1	Rv0660c	mazE2
NP_215175.1	Rv0661c	vapC7
NP_215176.2	Rv0662c	vapB7
NP_215177.1	Rv0663	atsD
NP_215178.1	Rv0664	vapB8
NP_215179.1	Rv0665	vapC8
NP_215180.1	Rv0666	NODATA
NP_215181.1	Rv0667	rpoB
NP_215182.1	Rv0668	rpoC
NP_215183.1	Rv0669c	NODATA
NP_215184.1	Rv0670	end
NP_215185.1	Rv0671	lpqP
NP_215186.1	Rv0672	fadE8
NP_215187.1	Rv0673	echA4
NP_215188.1	Rv0674	NODATA
YP_177745.1	Rv0675	echA5
NP_215190.1	Rv0676c	mmpL5
NP_215191.1	Rv0677c	mmpS5
NP_215192.1	Rv0678	NODATA
NP_215193.1	Rv0679c	NODATA
NP_215194.1	Rv0680c	NODATA
NP_215195.1	Rv0681	NODATA
NP_215196.1	Rv0682	rpsL
NP_215197.1	Rv0683	rpsG
YP_177746.1	Rv0684	fusA1
NP_215199.1	Rv0685	tuf
NP_215200.1	Rv0686	NODATA
NP_215201.1	Rv0687	NODATA
NP_215202.1	Rv0688	NODATA
NP_215203.1	Rv0689c	NODATA
NP_215204.1	Rv0690c	NODATA
NP_215205.1	Rv0691c	NODATA
YP_007409348.2	Rv0691A	NODATA
NP_215206.1	Rv0692	NODATA
NP_215207.1	Rv0693	NODATA
NP_215208.1	Rv0694	NODATA
NP_215209.1	Rv0695	NODATA
NP_215210.1	Rv0696	NODATA
NP_215211.1	Rv0697	NODATA
NP_215212.1	Rv0698	NODATA
NP_215213.1	Rv0699	NODATA
NP_215214.1	Rv0700	rpsJ
NP_215215.1	Rv0701	rplC
NP_215216.1	Rv0702	rplD
NP_215217.1	Rv0703	rplW
NP_215218.1	Rv0704	rplB
NP_215219.1	Rv0705	rpsS
NP_215220.1	Rv0706	rplV
NP_215221.1	Rv0707	rpsC
NP_215222.1	Rv0708	rplP
NP_215223.1	Rv0709	rpmC
NP_215224.1	Rv0710	rpsQ
NP_215225.1	Rv0711	atsA
NP_215226.1	Rv0712	NODATA
NP_215227.1	Rv0713	NODATA
NP_215228.1	Rv0714	rplN
NP_215229.1	Rv0715	rplX
NP_215230.1	Rv0716	rplE
YP_177747.1	Rv0717	rpsN1
