NP_414925.1	b0391	ppnP
YP_009518750.1	b4732	ykiD
NP_414927.1	b0393	rdgC
NP_414928.2	b0394	mak
NP_414930.3	b0396	araJ
NP_414931.1	b0397	sbcC
NP_414932.1	b0398	sbcD
NP_414933.1	b0399	phoB
NP_414934.1	b0400	phoR
NP_414935.1	b0401	brnQ
NP_414936.1	b0402	proY
NP_414937.2	b0403	malZ
NP_414938.1	b0404	acpH
NP_414939.1	b0405	queA
NP_414940.1	b0406	tgt
NP_414941.1	b0407	yajC
NP_414942.1	b0408	secD
NP_414943.1	b0409	secF
NP_414944.1	b0410	yajD
NP_414945.1	b0411	tsx
NP_414946.4	b0412	yajI
NP_414947.1	b0413	nrdR
NP_414948.1	b0414	ribD
NP_414949.1	b0415	ribE
NP_414950.1	b0416	nusB
NP_414951.1	b0417	thiL
NP_414952.1	b0418	pgpA
NP_414953.2	b0419	yajO
NP_414954.1	b0420	dxs
NP_414955.1	b0421	ispA
NP_414956.1	b0422	xseB
NP_414957.1	b0423	thiI
NP_414958.4	b0424	yajL
NP_414959.1	b0425	panE
NP_414960.2	b0426	yajQ
NP_414961.4	b0427	yajR
NP_414962.1	b0428	cyoE
NP_414963.1	b0429	cyoD
NP_414964.1	b0430	cyoC
NP_414965.1	b0431	cyoB
NP_414966.1	b0432	cyoA
NP_414967.1	b0433	ampG
NP_414968.4	b0434	yajG
NP_414969.4	b0435	bolA
NP_414970.1	b0436	tig
NP_414971.1	b0437	clpP
NP_414972.1	b0438	clpX
NP_414973.1	b0439	lon
NP_414974.1	b0440	hupB
NP_414975.1	b0441	ppiD
NP_414976.1	b0442	ybaV
NP_414977.1	b0443	fadM
NP_414978.1	b0444	queC
NP_414979.1	b0445	ybaE
NP_414980.2	b0446	cof
NP_414981.4	b0447	decR
NP_414982.1	b0448	mdlA
NP_414983.1	b0449	mdlB
NP_414984.1	b0450	glnK
NP_414985.1	b0451	amtB
NP_414986.1	b0452	tesB
NP_414987.3	b0453	ybaY
NP_414988.1	b0454	atl
NP_414989.1	b0456	ybaA
NP_414990.2	b0457	pdeB
NP_414991.4	b0458	ylaC
NP_414992.1	b0459	maa
NP_414993.1	b0460	hha
NP_414994.1	b0461	tomB
NP_414995.1	b0462	acrB
NP_414996.1	b0463	acrA
NP_414997.1	b0464	acrR
NP_414998.1	b0465	mscK
NP_414999.1	b0466	ybaM
NP_415000.1	b0467	priC
NP_415001.1	b0468	ybaN
NP_415002.1	b0469	apt
NP_415003.1	b0470	dnaX
YP_009518751.1	b0470	dnaX
NP_415004.1	b0471	ybaB
NP_415005.1	b0472	recR
NP_415006.1	b0473	htpG
NP_415007.1	b0474	adk
NP_415008.1	b0475	hemH
NP_415009.1	b0476	aes
NP_415010.1	b0477	gsk
NP_415011.1	b0478	ybaL
NP_415012.1	b0479	fsr
NP_415013.1	b0480	ushA
NP_415014.1	b0481	ybaK
NP_415015.1	b0482	ybaP
NP_415016.4	b0483	ybaQ
NP_415017.1	b0484	copA
YP_009518752.1	b0484	copA
NP_415018.1	b0485	glsA
NP_415019.1	b0486	ybaT
NP_415020.1	b0487	cueR
NP_415021.2	b0488	ybbJ
NP_415022.1	b0489	qmcA
NP_415023.1	b0490	fetA
NP_415024.4	b0491	fetB
NP_415025.4	b0492	cnoX
NP_415026.1	b0493	ybbO
NP_415027.1	b0494	tesA
NP_415028.1	b0495	ybbA
NP_415029.1	b0496	ybbP
NP_415030.1	b0497	rhsD
NP_415031.1	b0498	ybbC
YP_009518753.1	b0502	ylbG
NP_415036.1	b0503	selU
NP_415037.1	b0504	allS
NP_415038.1	b0505	allA
NP_415039.1	b0506	allR
NP_415040.1	b0507	gcl
NP_415041.1	b0508	hyi
NP_415042.1	b0509	glxR
NP_415044.4	b0511	ybbW
NP_415045.1	b0512	allB
NP_415046.4	b0513	ybbY
NP_415047.1	b0514	glxK
NP_415048.1	b0515	allE
NP_415049.1	b0516	allC
NP_415050.1	b0517	allD
NP_415051.1	b0518	fdrA
YP_009029994.1	b4572	ylbE
NP_415053.1	b0520	ylbF
NP_415054.1	b0521	ybcF
NP_415055.1	b0522	purK
NP_415056.1	b0523	purE
NP_415057.1	b0524	lpxH
NP_415058.1	b0525	ppiB
NP_415059.1	b0526	cysS
NP_415060.1	b0527	ybcI
NP_415061.2	b0528	ybcJ
NP_415062.1	b0529	folD
NP_415063.4	b0530	sfmA
NP_415064.1	b0531	sfmC
NP_415065.1	b0532	sfmD
NP_415066.2	b0533	sfmH
NP_415067.1	b0534	sfmF
NP_415068.1	b0535	fimZ
NP_415069.1	b0537	intD
NP_415072.2	b0540	insE-3
NP_415073.1	b0541	insF-3
NP_415075.1	b0543	emrE
YP_009518754.1	b4733	ylcJ
NP_415076.1	b0544	ybcK
NP_415077.1	b0545	ybcL
NP_415078.1	b0546	ybcM
YP_001165308.1	b4588	ylcH
NP_415079.1	b0547	ybcN
NP_415080.1	b0548	ninE
NP_415081.1	b0549	ybcO
NP_415082.1	b0550	rusA
YP_588439.1	b4509	ylcG
NP_415083.1	b0551	ybcQ
NP_415084.1	b0552	insH-2
NP_415086.1	b0554	essD
NP_415087.1	b0555	rrrD
NP_415088.1	b0556	rzpD
YP_588440.1	b4510	rzoD
NP_415089.1	b0557	borD
NP_415090.2	b0558	ybcV
NP_415091.1	b0559	ybcW
YP_001165309.1	b4589	ylcI
NP_415092.1	b0560	nohD
YP_009518755.1	b0561	tfaD
YP_009518756.1	b0563	tfaX
NP_415096.1	b0564	appY
NP_415097.1	b0565	ompT
NP_415098.1	b0566	envY
NP_415099.1	b0567	ybcH
NP_415100.1	b0568	nfrA
NP_415101.1	b0569	nfrB
NP_415102.1	b0570	cusS
NP_415103.1	b0571	cusR
NP_415104.1	b0572	cusC
NP_415105.1	b0573	cusF
NP_415106.1	b0574	cusB
NP_415107.1	b0575	cusA
NP_415108.1	b0576	pheP
NP_415109.1	b0577	ybdG
NP_415110.1	b0578	nfsB
NP_415111.1	b0579	ybdF
NP_415112.1	b0580	ybdJ
NP_415113.1	b0581	ybdK
YP_025295.1	b4415	hokE
NP_415114.1	b0582	insL-2
NP_415115.2	b0583	entD
NP_415116.1	b0584	fepA
NP_415117.2	b0585	fes
YP_588441.1	b4511	ybdZ
NP_415118.1	b0586	entF
NP_415119.1	b0587	fepE
NP_415120.1	b0588	fepC
NP_415121.1	b0589	fepG
NP_415122.1	b0590	fepD
NP_415123.1	b0591	entS
NP_415124.1	b0592	fepB
NP_415125.1	b0593	entC
NP_415126.1	b0594	entE
NP_415127.1	b0595	entB
NP_415128.1	b0596	entA
NP_415129.1	b0597	entH
NP_415130.1	b0598	cstA
YP_588442.1	b4512	ybdD
NP_415132.1	b0599	hcxA
NP_415133.1	b0600	ybdL
NP_415134.1	b0601	ybdM
NP_415135.1	b0602	ybdN
NP_415136.1	b0603	ybdO
NP_415137.2	b0604	dsbG
NP_415138.1	b0605	ahpC
NP_415139.2	b0606	ahpF
NP_415140.1	b0607	uspG
NP_415141.1	b0608	ybdR
YP_009518757.1	b4734	yldA
NP_415143.1	b0610	rnk
NP_415144.1	b0611	rna
NP_415145.1	b0612	citT
NP_415146.1	b0613	citG
NP_415147.1	b0614	citX
NP_415148.1	b0615	citF
NP_415149.4	b0616	citE
NP_415150.1	b0617	citD
NP_415151.4	b0618	citC
NP_415152.1	b0619	dpiB
NP_415153.1	b0620	dpiA
NP_415154.1	b0621	dcuC
NP_415155.1	b0622	pagP
NP_415156.1	b0623	cspE
NP_415157.1	b0624	crcB
NP_415160.1	b0627	tatE
NP_415161.1	b0628	lipA
NP_415162.4	b0629	ybeF
NP_415163.2	b0630	lipB
NP_415164.1	b0631	ybeD
NP_415165.1	b0632	dacA
NP_415166.1	b0633	rlpA
NP_415167.1	b0634	mrdB
NP_415168.1	b0635	mrdA
NP_415169.1	b0636	rlmH
NP_415170.4	b0637	rsfS
NP_415171.1	b0638	cobC
NP_415172.1	b0639	nadD
NP_415173.1	b0640	holA
NP_415174.1	b0641	lptE
NP_415175.1	b0642	leuS
NP_415176.1	b0643	ybeL
NP_415177.4	b0644	ybeQ
NP_415178.1	b0645	ybeR
NP_415179.1	b0646	djlB
NP_415180.1	b0647	ybeT
NP_415181.1	b0648	ybeU
NP_415182.1	b0649	djlC
NP_415183.1	b0650	hscC
NP_415184.1	b0651	rihA
NP_415185.1	b0652	gltL
NP_415186.1	b0653	gltK
NP_415187.1	b0654	gltJ
NP_415188.1	b0655	gltI
NP_415189.1	b0656	insH-3
NP_415190.1	b0657	lnt
NP_415191.1	b0658	ybeX
NP_415192.1	b0659	ybeY
NP_415193.2	b0660	ybeZ
NP_415194.1	b0661	miaB
NP_415195.1	b0662	ubiF
NP_415200.1	b0674	asnB
NP_415201.1	b0675	umpH
NP_415202.1	b0676	nagC
NP_415203.1	b0677	nagA
NP_415204.1	b0678	nagB
NP_415205.1	b0679	nagE
NP_415206.1	b0680	glnS
NP_415207.1	b0681	chiP
NP_415208.1	b0682	chiQ
NP_415209.1	b0683	fur
YP_001491546.1	b4637	uof
NP_415210.1	b0684	fldA
NP_415211.2	b0685	ybfE
NP_415212.1	b0686	ybfF
NP_415213.1	b0687	seqA
NP_415214.1	b0688	pgm
NP_415215.1	b0689	ybfP
NP_415219.1	b0692	potE
NP_415220.1	b0693	speF
YP_001165310.1	b4590	ybfK
NP_415222.1	b0694	kdpE
NP_415223.1	b0695	kdpD
NP_415224.1	b0696	kdpC
NP_415225.1	b0697	kdpB
NP_415226.1	b0698	kdpA
YP_588443.1	b4513	kdpF
NP_415228.1	b0699	ybfA
NP_415229.1	b0700	rhsC
NP_415230.1	b0702	ybfB
NP_415232.1	b0704	ybfC
YP_009518758.1	b4514	ybfQ
NP_415234.1	b0706	ybfD
NP_415235.1	b0707	ybgA
NP_415236.1	b0708	phr
NP_415237.1	b0709	dtpD
NP_415238.1	b0710	ybgI
NP_415239.1	b0711	pxpB
NP_415240.1	b0712	pxpC
NP_415241.1	b0713	pxpA
NP_415242.1	b0714	nei
NP_415243.4	b0715	abrB
NP_415244.4	b0716	ybgO
NP_415245.1	b0717	ybgP
NP_415246.2	b0718	ybgQ
NP_415247.1	b0719	ybgD
NP_415248.1	b0720	gltA
YP_009518759.1	b4735	ybgU
NP_415249.1	b0721	sdhC
NP_415250.1	b0722	sdhD
NP_415251.1	b0723	sdhA
NP_415252.1	b0724	sdhB
NP_415254.1	b0726	sucA
NP_415255.1	b0727	sucB
NP_415256.1	b0728	sucC
NP_415257.1	b0729	sucD
NP_415258.1	b0730	mngR
NP_415259.1	b0731	mngA
NP_415260.1	b0732	mngB
NP_415261.2	b0733	cydA
NP_415262.1	b0734	cydB
YP_588444.1	b4515	cydX
NP_415263.1	b0735	ybgE
NP_415264.1	b0736	ybgC
NP_415265.1	b0737	tolQ
NP_415266.1	b0738	tolR
NP_415267.1	b0739	tolA
NP_415268.1	b0740	tolB
NP_415269.1	b0741	pal
NP_415270.1	b0742	cpoB
NP_415271.1	b0750	nadA
NP_415272.1	b0751	pnuC
NP_415273.1	b0752	zitB
NP_415274.1	b0753	ybgS
NP_415275.1	b0754	aroG
NP_415276.1	b0755	gpmA
NP_415277.1	b0756	galM
NP_415278.1	b0757	galK
NP_415279.1	b0758	galT
NP_415280.3	b0759	galE
NP_415281.1	b0760	modF
NP_415282.1	b0761	modE
NP_415283.1	b0762	acrZ
NP_415284.1	b0763	modA
NP_415285.1	b0764	modB
NP_415286.1	b0765	modC
NP_415287.1	b0766	ybhA
NP_415288.1	b0767	pgl
NP_415289.4	b0768	ybhD
NP_415290.1	b0769	ybhH
NP_415291.1	b0770	ybhI
NP_415292.2	b0771	ybhJ
NP_415293.1	b0772	ybhC
NP_415294.1	b0773	ybhB
NP_415295.1	b0774	bioA
NP_415296.1	b0775	bioB
NP_415297.1	b0776	bioF
NP_415298.1	b0777	bioC
NP_415299.1	b0778	bioD
NP_415300.1	b0779	uvrB
NP_415301.1	b0780	ybhK
NP_415302.1	b0781	moaA
NP_415303.1	b0782	moaB
NP_415304.1	b0783	moaC
NP_415305.1	b0784	moaD
NP_415306.1	b0785	moaE
NP_415307.1	b0786	ybhL
NP_415308.1	b0787	ybhM
NP_415309.1	b0788	ybhN
NP_415310.1	b0789	clsB
NP_415311.1	b0790	ybhP
NP_415312.1	b0791	ybhQ
NP_415313.1	b0792	ybhR
NP_415314.1	b0793	ybhS
NP_415315.4	b0794	ybhF
NP_415316.1	b0795	ybhG
NP_415317.4	b0796	cecR
NP_415318.1	b0797	rhlE
NP_415319.1	b0798	ybiA
NP_415320.1	b0799	dinG
NP_415321.1	b0800	ybiB
NP_415322.1	b0801	hcxB
NP_415323.1	b0802	ybiJ
NP_415324.1	b0803	ybiI
NP_415325.4	b0804	ybiX
NP_415326.1	b0805	fiu
NP_415327.2	b0806	mcbA
NP_415328.4	b0807	rlmF
NP_415329.4	b0808	ybiO
NP_415330.1	b0809	glnQ
NP_415331.1	b0810	glnP
NP_415332.1	b0811	glnH
NP_415333.1	b0812	dps
NP_415334.1	b0813	rhtA
YP_009518760.1	b4736	yliM
NP_415335.1	b0814	ompX
NP_415336.1	b0815	opgE
YP_009029995.1	b4705	mntS
NP_415338.1	b0817	mntR
NP_415339.1	b0818	ybiR
NP_415340.1	b0819	ldtB
NP_415341.1	b0820	ybiT
NP_415342.1	b0821	ybiU
NP_415343.1	b0822	ybiV
NP_415344.1	b0823	ybiW
NP_415345.2	b0824	ybiY
NP_415346.4	b0825	fsaA
NP_415347.1	b0826	moeB
NP_415348.1	b0827	moeA
NP_415349.1	b0828	iaaA
NP_415350.2	b0829	gsiA
NP_415351.1	b0830	gsiB
NP_415352.1	b0831	gsiC
NP_415353.1	b0832	gsiD
